# wavelength flux
3999.0139293023 0.9994439911
3999.0205987129 0.9989828532
3999.0272681346 0.9986220227
3999.0339375674 0.9991094637
3999.0406070113 0.9988017549
3999.0472764663 0.9983616491
3999.0539459325 0.9983930506
3999.0606154098 0.9982509037
3999.0672848982 0.9978431021
3999.0739543978 0.9983714362
3999.0806239085 0.9984976601
3999.0872934302 0.9981072006
3999.0939629632 0.9975200504
3999.1006325072 0.9980656629
3999.1073020624 0.9986757107
3999.1139716287 0.9983700035
3999.1206412061 0.9980276909
3999.1273107946 0.9980857565
3999.1339803942 0.9983558064
3999.1406500050 0.9983503040
3999.1473196269 0.9982850071
3999.1539892600 0.9975579147
3999.1606589041 0.9978935974
3999.1673285594 0.9983051183
3999.1739982258 0.9979488103
3999.1806679033 0.9978888044
3999.1873375919 0.9980901779
3999.1940072917 0.9985955493
3999.2006770026 0.9988785805
3999.2073467246 0.9984890984
3999.2140164577 0.9984490363
3999.2206862020 0.9989813977
3999.2273559574 0.9991295317
3999.2340257239 0.9987970793
3999.2406955015 0.9988060723
3999.2473652903 0.9984612282
3999.2540350901 0.9988634951
3999.2607049011 0.9986911686
3999.2673747233 0.9987472369
3999.2740445565 0.9994021834
3999.2807144009 0.9989846234
3999.2873842564 0.9988372014
3999.2940541230 0.9991371493
3999.3007240007 0.9993498903
3999.3073938896 0.9996520005
3999.3140637896 0.9993929895
3999.3207337007 0.9988628672
3999.3274036230 0.9987665196
3999.3340735563 0.9988998777
3999.3407435008 0.9986242865
3999.3474134564 0.9978714988
3999.3540834231 0.9983080722
3999.3607534010 0.9989259080
3999.3674233900 0.9989072409
3999.3740933901 0.9989755454
3999.3807634013 0.9989390907
3999.3874334237 0.9988414861
3999.3941034572 0.9993657377
3999.4007735018 0.9996529296
3999.4074435575 0.9995571077
3999.4141136243 0.9988579178
3999.4207837023 0.9991833680
3999.4274537914 0.9995105727
3999.4341238916 0.9991223106
3999.4407940030 0.9983518772
3999.4474641254 0.9981042835
3999.4541342590 0.9986632417
3999.4608044038 1.0000979678
3999.4674745596 0.9995374688
3999.4741447266 0.9990535289
3999.4808149047 0.9991883540
3999.4874850939 0.9995223965
3999.4941552942 0.9995303684
3999.5008255057 0.9995044218
3999.5074957283 0.9998194376
3999.5141659620 1.0001319671
3999.5208362068 0.9992810684
3999.5275064628 1.0000716167
3999.5341767299 0.9995788163
3999.5408470081 0.9991635355
3999.5475172974 0.9994946317
3999.5541875979 0.9998045690
3999.5608579095 1.0000063226
3999.5675282322 0.9992072342
3999.5741985660 0.9986931534
3999.5808689110 0.9992161366
3999.5875392670 0.9996839408
3999.5942096343 1.0002249299
3999.6008800126 1.0001717352
3999.6075504020 0.9997698264
3999.6142208026 0.9999457761
3999.6208912143 0.9998490762
3999.6275616372 0.9998406959
3999.6342320711 0.9993103549
3999.6409025162 0.9996651406
3999.6475729724 0.9998998639
3999.6542434397 0.9993227015
3999.6609139182 0.9994717331
3999.6675844078 1.0000842132
3999.6742549085 1.0000907511
3999.6809254203 0.9995304831
3999.6875959432 1.0001149476
3999.6942664773 1.0001719805
3999.7009370225 1.0001892459
3999.7076075789 1.0003837029
3999.7142781463 1.0008019969
3999.7209487249 1.0009230220
3999.7276193146 1.0004260991
3999.7342899154 1.0005360549
3999.7409605274 1.0003523923
3999.7476311505 0.9999710546
3999.7543017847 1.0002744766
3999.7609724300 0.9999226825
3999.7676430864 1.0003116383
3999.7743137540 1.0006151062
3999.7809844327 1.0002089965
3999.7876551225 0.9997271541
3999.7943258235 0.9998090873
3999.8009965356 1.0000764923
3999.8076672588 0.9996034272
3999.8143379931 0.9993232492
3999.8210087386 0.9997253983
3999.8276794951 1.0001944190
3999.8343502628 1.0005556431
3999.8410210417 1.0012785934
3999.8476918316 1.0009049984
3999.8543626327 1.0006036751
3999.8610334449 1.0006644130
3999.8677042682 1.0001033152
3999.8743751027 0.9995917818
3999.8810459483 0.9998271280
3999.8877168050 0.9997993227
3999.8943876728 1.0004942260
3999.9010585518 1.0004334727
3999.9077294419 0.9997946338
3999.9144003431 1.0000806019
3999.9210712554 0.9997594054
3999.9277421789 1.0002463216
3999.9344131134 1.0012871257
3999.9410840592 1.0005959722
3999.9477550160 1.0005031831
3999.9544259840 1.0010243744
3999.9610969630 1.0007551557
3999.9677679533 1.0006387325
3999.9744389546 1.0009017260
3999.9811099671 1.0012461375
3999.9877809907 1.0009058205
3999.9944520254 0.9999327978
4000.0011230712 0.9992612090
4000.0077941282 0.9994130345
4000.0144651963 1.0004045967
4000.0211362755 1.0003259318
4000.0278073658 0.9997923413
4000.0344784673 0.9994752213
4000.0411495799 0.9993727852
4000.0478207036 1.0000889678
4000.0544918385 1.0006146441
4000.0611629844 1.0007246344
4000.0678341415 1.0005194265
4000.0745053098 0.9997952018
4000.0811764891 1.0004343855
4000.0878476796 1.0005407324
4000.0945188812 1.0000874048
4000.1011900939 1.0003079010
4000.1078613178 1.0005503150
4000.1145325528 1.0005424918
4000.1212037989 1.0004802821
4000.1278750561 1.0004862345
4000.1345463245 1.0008109731
4000.1412176040 1.0013027067
4000.1478888946 1.0013050699
4000.1545601963 1.0014664262
